organization_name,pagerank_score,degree_centrality_score,betweenness_score,country
FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,58.978647298393106,3151.0,9143934.239460567,DE
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,53.871328399768636,3272.0,3426546.7343922663,FR
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,52.73159242282529,3109.0,5241829.473620954,ES
CONSIGLIO NAZIONALE DELLE RICERCHE,40.55245436118442,2286.0,4094837.621442359,IT
KATHOLIEKE UNIVERSITEIT LEUVEN,37.04567268854842,2084.0,3789016.8466409934,BE
COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,32.71082719549274,1954.0,2240424.062229615,FR
TECHNISCHE UNIVERSITEIT DELFT,30.96689761713547,1676.0,3222326.38143269,NL
POLITECNICO DI MILANO,30.748638251141035,1661.0,3347245.256020587,IT
TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,29.686142121678632,1599.0,3719286.273508997,FI
DANMARKS TEKNISKE UNIVERSITET,29.623269531105542,1644.0,3174145.4542916524,DK
ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS,29.054275243266762,1534.0,3939663.8969073687,EL
UNIVERSITEIT GENT,24.536431808860343,1459.0,2318173.238166815,BE
AARHUS UNIVERSITET,24.20203492971858,1417.0,2418085.6929758526,DK
NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,21.676604563420167,1137.0,2065223.8259675212,NO
ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,21.303407545756095,1185.0,2371977.5764829903,IT
TECHNISCHE UNIVERSITAET MUENCHEN,21.17600438620191,1244.0,1842594.139417197,DE
POLITECNICO DI TORINO,21.036190560576244,1129.0,1953799.437637832,IT
DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV,20.63403290902735,1162.0,1759611.6072574796,DE
UNIVERSIDAD POLITECNICA DE MADRID,20.0972965960746,1227.0,1795144.213498871,ES
KARLSRUHER INSTITUT FUER TECHNOLOGIE,20.01535468194262,1235.0,1085097.1755115078,DE
ETHNICON METSOVION POLYTECHNION,19.65725695545437,1103.0,1838537.9978395775,EL
NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO,18.861508233532934,1072.0,1702419.2069987666,NL
UNIVERSITAT POLITECNICA DE CATALUNYA,18.753987282560477,1040.0,1934199.8884821709,ES
HELSINGIN YLIOPISTO,18.475829222260298,1084.0,1526994.40693504,FI
FUNDACION TECNALIA RESEARCH & INNOVATION,17.205454283311806,875.0,2044660.657840372,ES
EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON,17.144158766914412,946.0,1542697.5699566605,EL
KOBENHAVNS UNIVERSITET,17.139632071725526,981.0,1492051.7890522336,DK
KUNGLIGA TEKNISKA HOEGSKOLAN,17.05376233728559,985.0,1063993.8307241646,SE
